Anno,Relazione 1,Source,Relazione 2,Target
1965,Mina,130,Studio Uno,814
1965,Rita Pavone,166,Gian Burrasca,447
1965,Los Indios Tabajaras,108,Voglio amarti così,893
1965,Bobby Solo,27,Il secondo LP di Bobby Solo,505
1965,Ornella Vanoni,145,Caldo,296
1965,Milva,129,Canti della libertà,305
1965,Adriano Celentano,5,Non mi dir,681
1965,Coro del CAI di Padova,37,I Canti della Grande Guerra,470
1965,Ricky Gianco,165,Ai miei amici di Ciao Amici,227
1965,The Rokes,193,The Rokes (LP),834
1965,Luigi Tenco,116,Luigi Tenco (LP),617
1965,Pino Donaggio,154,Pino Donaggio (LP),721
1965,Edoardo Vianello,47,Edoardo Vianello allo Studio A,412
1965,Equipe 84,53,Equipe 84 (LP),419
1965,Nico Fidenco,138,Musica per innamorati,661
1965,Gino Paoli,79,Gino Paoli allo Studio A,454
1965,Dino,42,Dino (LP),386
1965,Luciano Tajoli,113,Nozze d'argento con la canzone,689
1965,Bruno Lauzi,28,Ti ruberò,839
1965,Don Backy,44,L'amore,546
1965,Ri-Fi,975,Studio Uno,814
1965,RCA,974,Gian Burrasca,447
1965,RCA,974,Voglio amarti così,893
1965,Ricordi,976,Il secondo LP di Bobby Solo,505
1965,Ricordi,976,Caldo,296
1965,Fonit Cetra,947,Canti della libertà,305
1965,Clan Celentano,932,Non mi dir,681
1965,Durium,940,I Canti della Grande Guerra,470
1965,Jaguar,956,Ai miei amici di Ciao Amici,227
1965,ARC,906,The Rokes (LP),834
1965,Jolly,957,Luigi Tenco (LP),617
1965,Columbia,933,Pino Donaggio (LP),721
1965,RCA,974,Edoardo Vianello allo Studio A,412
1965,Vedette,986,Equipe 84 (LP),419
1965,RCA,974,Musica per innamorati,661
1965,RCA,974,Gino Paoli allo Studio A,454
1965,ARC,906,Dino (LP),386
1965,Jolly,957,Nozze d'argento con la canzone,689
1965,CGD,926,Ti ruberò,839
1965,Clan Celentano,932,L'amore,546
1965,Studi RCA Roma,1150,Gian Burrasca,447
1965,Studi RCA Roma,1150,Voglio amarti così,893
1965,Studi RCA Roma,1150,The Rokes (LP),834
1965,Studi RCA Roma,1150,Edoardo Vianello allo Studio A,412
1965,Studi Vedette Milano,1153,Equipe 84 (LP),419
1965,Studi RCA Roma,1150,Musica per innamorati,661
1965,Studi RCA Roma,1150,Gino Paoli allo Studio A,454
1965,Studi RCA Roma,1150,Dino (LP),386
1965,Fonorama Milano,1056,Nozze d'argento con la canzone,689
1965,Wladimiro Albera,1421,Studio Uno,814
1965,Ferruccio Ricordi,1272,Gian Burrasca,447
1965,Vincenzo Micocci,1416,Il secondo LP di Bobby Solo,505
1965,Ezio Leoni,1476,Luigi Tenco (LP),617
1965,Ferruccio Ricordi,1272,Dino (LP),386
1965,Carlo Alberto Rossi,1229,Nozze d'argento con la canzone,689
1965,Nanni Ricordi,1349,Luigi Tenco (LP),617
1965,Augusto Martelli,1437,Studio Uno,814
1965,Luis Bacalov,1526,Gian Burrasca,447
1965,Gianni Marchetti,1499,Il secondo LP di Bobby Solo,505
1965,Iller Pattacini,1517,Caldo,296
1965,Gino Negri,1503,Canti della libertà,305
1965,Detto Mariano,1463,Non mi dir,681
1965,Alberto Baldan Bembo,1425,Luigi Tenco (LP),617
1965,Ennio Morricone,1466,Dino (LP),386
1965,Enzo Ceragioli,1473,Ti ruberò,839
1965,Detto Mariano,1463,L'amore,546
1965,Pietro Gosio,1571,Studio Uno,814
1965,Giulio Libano,1509,Luigi Tenco (LP),617
1965,Angel Pocho Gatti,1430,Ti ruberò,839
1965,Giampiero Boneschi,1490,Luigi Tenco (LP),617
1965,Gian Franco Reverberi,1491,Ti ruberò,839
1965,Enrico Simonetti,1472,Ti ruberò,839
1965,Severino Pecchenini,1984,Equipe 84 (LP),419
1965,Danilo Morri,1692,Nozze d'argento con la canzone,689
1965,Gianni Dall'Aglio,2149,Non mi dir,681
1965,Jean Claude Bischara,2356,Non mi dir,681
1965,Giorgio Benacchio,2537,Non mi dir,681
1965,Natale Massara,3153,Non mi dir,681
1965,Nora Orlandi,63,Caldo,296
1966,Gianni Morandi,76,Gianni Tre,452
1966,RCA,974,Gianni Tre,452
1966,Studi RCA Roma,1150,Gianni Tre,452
1966,Franco Migliacci,1280,Gianni Tre,452
1966,Ennio Morricone,1466,Gianni Tre,452
1966,I Cantori Moderni di Alessandroni,3306,Gianni Tre,452
1966,Mina,130,Studio Uno 66,815
1966,Ri-Fi,975,Studio Uno 66,815
1966,Wladimiro Albera,1421,Studio Uno 66,815
1966,Augusto Martelli,1437,Studio Uno 66,815
1966,Carlo Pes,1444,Studio Uno 66,815
1966,Piero Piccioni,1569,Studio Uno 66,815
1966,Ennio Morricone,1466,Studio Uno 66,815
1966,Angelo Giacomazzi,1432,Studio Uno 66,815
1966,Equipe 84,53,Io ho in mente te,525
1966,Ricordi,976,Io ho in mente te,525
1966,Studi Ricordi Milano,1152,Io ho in mente te,525
1966,Pier Farri,1361,Io ho in mente te,525
1966,Walter Patergnani,2021,Io ho in mente te,525
1966,Adamo,3,Adamo (LP),220
1966,La voce del padrone,959,Adamo (LP),220
1966,Rita Pavone,166,Stasera Rita,809
1966,RCA,974,Stasera Rita,809
1966,Studi RCA Roma,1150,Stasera Rita,809
1966,Ferruccio Ricordi,1272,Stasera Rita,809
1966,Ennio Morricone,1476,Stasera Rita,809
1966,Luis Bacalov,1526,Stasera Rita,809
1966,Ruggero Cini,1396,Stasera Rita,809
1966,Teddy Randazzo,1593,Stasera Rita,809
1966,Nora Orlandi,3386,Stasera Rita,809
1966,I Cantori Moderni di Alessandroni,3306,Stasera Rita,809
1966,I Giganti,88,I Giganti (LP),472
1966,Ri-Fi,975,I Giganti (LP),472
1966,Wladimiro Albera,1421,I Giganti (LP),472
1966,Little Tony,106,Riderà,748
1966,Durium,940,Riderà,748
1966,Nini Rosso,139,Romantico,757
1966,Durium,940,Romantico,757
1966,Rita Pavone,166,La vostra Rita,586
1966,RCA,974,La vostra Rita,586
1966,Studi RCA Roma,1150,La vostra Rita,586
1966,Ferruccio Ricordi,1272,La vostra Rita,586
1966,Franco Pisano,1486,La vostra Rita,586
1966,Luis Bacalov,1526,La vostra Rita,586
1966,Ruggero Cini,1396,La vostra Rita,586
1966,Nora Orlandi,3386,La vostra Rita,586
1966,I Cantori Moderni di Alessandroni,3306,La vostra Rita,586
1966,Caterina Caselli,32,Casco d'oro,324
1966,CGD,926,Casco d'oro,324
1966,Studi CGD Milano,1144,Casco d'oro,324
1966,Franco Monaldi,1484,Casco d'oro,324
1966,Willy Brezza,1604,Casco d'oro,324
1966,Federico Savina,1724,Casco d'oro,324
1966,Giuseppe Mastroianni,1776,Casco d'oro,324
1966,Gualtiero Berlinghini,1783,Casco d'oro,324
1966,Carmen Villani,31,Carmen,317
1966,Bluebell,917,Carmen,317
1966,I Ragazzi del Sole,90,I Ragazzi del Sole (LP),479
1966,Jolly,957,I Ragazzi del Sole (LP),479
1966,Luigi Tenco,116,Tenco (LP),828
1966,RCA,974,Tenco (LP),828
1966,Studi RCA Roma,1150,Tenco (LP),828
1966,Paolo Dossena,1352,Tenco (LP),828
1966,Mina,130,Mina n. 2,649
1966,Ri-Fi,975,Mina n. 3,649
1966,Augusto Martelli,1437,Mina n. 4,649
1966,Sergio Endrigo,179,Endrigo (LP),417
1966,Cetra,925,Endrigo (LP),417
1966,I Corvi,87,Un ragazzo di strada,865
1966,Ariston,908,Un ragazzo di strada,865
1966,I Camaleonti,86,The best records in the world,832
1966,Kansas,3461,The best records in the world,832
1966,Fono Roma Milano,1053,The best records in the world,832
1966,Gigi Menegazzi,1302,The best records in the world,832
1966,Danilo Morri,1692,The best records in the world,832
1966,Remo Coatto,1947,The best records in the world,832
1966,Pooh,155,Per quelli come noi,716
1966,Vedette,986,Per quelli come noi,716
1966,Regson Milano,1120,Per quelli come noi,716
1966,Francesco Anselmo,1275,Per quelli come noi,716
1966,Severino Pecchenini,1984,Per quelli come noi,716
1966,The Rokes,193,Che mondo strano,331
1966,RCA,974,Che mondo strano,331
1966,Studi RCA Roma,1150,Che mondo strano,331
1966,Ruggero Cini,1396,Che mondo strano,331
1966,Giorgio Agazzi,1504,Che mondo strano,331
1966,Lucio Dalla,115,1999,206
1966,ARC,906,1999,206
1966,Studi RCA Roma,1150,1999,206
1966,Sergio Bardotti,1400,1999,206
1966,Giorgio Lecardi,2154,1999,206
1966,Emanuele Ardemagni,2323,1999,206
1966,Beppe Barlozzari,2459,1999,206
1966,Bruno Cabassi,2730,1999,206
1966,Nora Orlandi,3386,1999,206
1967,Mina,130,Sabato sera Studio Uno '67,764
1967,Ri-Fi,975,Sabato sera Studio Uno '68,764
1967,Wladimiro Albera,1421,Sabato sera Studio Uno '69,764
1967,Bruno Canfora,1442,Sabato sera Studio Uno '70,764
1967,Augusto Martelli,1437,Sabato sera Studio Uno '71,764
1967,Nomadi,142,Per quando noi non ci saremo,715
1967,EMI,942,Per quando noi non ci saremo,715
1967,Columbia,933,Per quando noi non ci saremo,715
1967,Dodo Veroli,1255,Per quando noi non ci saremo,715
1967,Rita Pavone,166,Ci vuole poco,336
1967,RCA,974,Ci vuole poco,336
1967,Ferruccio Ricordi,1272,Ci vuole poco,336
1967,Rocky Roberts,169,Sabato sera,763
1967,Durium,940,Sabato sera,763
1967,Caterina Caselli,32,Diamoci del tu,382
1967,CGD,926,Diamoci del tu,382
1967,Franco Monaldi,1484,Diamoci del tu,382
1967,Ornella Vanoni,145,Ornella Vanoni (LP),703
1967,Ariston,908,Ornella Vanoni (LP),703
1967,Augusto Martelli,1437,Ornella Vanoni (LP),703
1967,Giampiero Boneschi,1490,Ornella Vanoni (LP),703
1967,Angel Pocho Gatti,1430,Ornella Vanoni (LP),703
1967,Gianfranco Intra,1494,Ornella Vanoni (LP),703
1967,Franco Tadini,1487,Ornella Vanoni (LP),703
1967,Massimo Salerno,3462,Ornella Vanoni (LP),703
1967,New Dada,135,I'll go crazy,482
1967,Bluebell,917,I'll go crazy,482
1967,I Camaleonti,86,Portami tante rose,727
1967,Kansas,3461,Portami tante rose,727
1967,Bruno Lauzi,28,I miei giorni,476
1967,Ariston,908,I miei giorni,476
1967,Franco Tadini,1487,I miei giorni,476
1967,The Primitives,192,"The Primitives (Blow up, LP)",833
1967,ARC,906,"The Primitives (Blow up, LP)",833
1967,Francesco Guccini,65,Folk Beat n. 1	,438
1967,EMI,942,Folk Beat n. 1	,438
1967,Dodo Veroli,1255,Folk Beat n. 1	,438
1967,Fabrizio De André	,58,Vol. 1,894
1967,Bluebell,917,Vol. 2,894
1967,Gian Piero Reverberi,1288,Vol. 3,894
1967,Nanni Svampa,132,Svampa canta Brassens v. 2,820
1967,Durium,940,Svampa canta Brassens v. 2,820
1967,Iva Zanicchi,95,Fra noi,440
1967,Ri-Fi,975,Fra noi,440
1967,Augusto Martelli,1437,Fra noi,440
1967,Angel Pocho Gatti,1430,Fra noi,440
1967,Gianni Morandi,76,Gianni Quattro,451
1967,RCA,974,Gianni Quattro,451
1967,Studi RCA Roma,1150,Gianni Quattro,451
1967,Franco Migliacci,1280,Gianni Quattro,451
1967,Ennio Morricone,1466,Gianni Quattro,451
1967,Ruggero Cini,1396,Gianni Quattro,451
1967,Piero Pintucci,1369,Gianni Quattro,451
1967,I Cantori Moderni di Alessandroni,3306,Gianni Quattro,451
1967,Fred Bongusto,69,Fred Bongusto (LP),443
1967,Ri-Fi,975,Fred Bongusto (LP),443
1967,Bobby Solo,27,San Francisco,769
1967,Ricordi,976,San Francisco,769
1967,Detto Mariano,1463,San Francisco,769
1967,Iller Pattacini,1517,San Francisco,769
1967,Gianni Marchetti,1499,San Francisco,769
1967,Dalida,38,Dalida (LP),370
1967,Barclay,912,Dalida (LP),370
1967,RCA,974,Dalida (LP),370
1967,Studi RCA Roma,1150,Dalida (LP),370
1967,Paolo Dossena,1352,Dalida (LP),370
1967,Alain Goraguer,1424,Dalida (LP),370
1967,Carlo Pes,1444,Dalida (LP),370
1967,Ruggero Cini,1396,Dalida (LP),370
1967,Claude Denjean,1449,Dalida (LP),370
1967,Dik Dik,41,Senza luce,778
1967,Ricordi,976,Senza luce,778
1967,Studi Ricordi Milano,1152,Senza luce,778
1967,Walter Patergnani,2021,Senza luce,778
1967,Mina ,130,Dedicato a mio padre,376
1967,Ri-Fi,975,Dedicato a mio padre,376
1967,Augusto Martelli,1437,Dedicato a mio padre,376
1968,Fabrizio De André,1269,Tutti morimmo a stento,851
1968,Bluebell,917,Tutti morimmo a stento,851
1968,Studi RCA Roma,1150,Tutti morimmo a stento,851
1968,Gian Piero Reverberi,1288,Tutti morimmo a stento,851
1968,Giorgio Agazzi,1504,Tutti morimmo a stento,851
1968,Coro Pietro Carapellucci,3244,Tutti morimmo a stento,851
1968,Patty Pravo,150,"Patty Pravo (LP, 1968)",709
1968,ARC,906,"Patty Pravo (LP, 1968)",709
1968,Gian Franco Reverberi,1491,"Patty Pravo (LP, 1968)",709
1968,Piero Pintucci,1570,"Patty Pravo (LP, 1968)",709
1968,Ruggero Cini,1585,"Patty Pravo (LP, 1968)",709
1968,Giorgio Agazzi,1765,"Patty Pravo (LP, 1968)",709
1968,Franco Patrignani,1732,"Patty Pravo (LP, 1968)",709
1968,Nora Orlandi,3386,"Patty Pravo (LP, 1968)",709
1968,Alberto Visentin,2711,"Patty Pravo (LP, 1968)",709
1968,George Sims,2528,"Patty Pravo (LP, 1968)",709
1968,Franco Di Stefano,2133,"Patty Pravo (LP, 1968)",709
1968,Roger Smith,2427,"Patty Pravo (LP, 1968)",709
1968,Enzo Jannacci,52,Vengo anch'io no tu no,886
1968,ARC,906,Vengo anch'io no tu no,886
1968,Luis Bacalov,1526,Vengo anch'io no tu no,886
1968,I Camaleonti,86,Io per lei,527
1968,CBS,923,Io per lei,527
1968,New Trolls,136,Senza orario senza bandiera,779
1968,Cetra,925,Senza orario senza bandiera,779
1968,Fabrizio De André,1269,Senza orario senza bandiera,779
1968,Gian Piero Reverberi,1288,Senza orario senza bandiera,779
1968,Orietta Berti,143,Dolcemente,390
1968,Polydor,971,Dolcemente,390
1968,Gianfranco Intra,1494,Dolcemente,390
1968,Sauro Sili,1586,Dolcemente,390
1968,Alberto Baldan Bembo,1425,Dolcemente,390
1968,Mal,117,Sua Eccellenza Mal dei Primitives,816
1968,RCA,974,Sua Eccellenza Mal dei Primitives,816
1968,Guido Tommaso,1516,Sua Eccellenza Mal dei Primitives,816
1968,Gaetano Ria,1742,Sua Eccellenza Mal dei Primitives,816
1968,Giulio Spelta,1773,Sua Eccellenza Mal dei Primitives,816
1968,Ornella Vanoni,145,Ai miei amici cantautori,226
1968,Ariston,908,Ai miei amici cantautori,226
1968,Gianluigi Guarnieri,1296,Ai miei amici cantautori,226
1968,Pino Calvi,1572,Ai miei amici cantautori,226
1968,Mario Carulli,1843,Ai miei amici cantautori,226
1968,Leonello Bionda,2178,Ai miei amici cantautori,226
1968,Giorgio Azzolini,2343,Ai miei amici cantautori,226
1968,Felice Daccò,2517,Ai miei amici cantautori,226
1968,Ebe Mautino,2989,Ai miei amici cantautori,226
1968,Pino Calvi,2900,Ai miei amici cantautori,226
1968,Dino Piana,3084,Ai miei amici cantautori,226
1968,Oscar Valdambrini,3391,Ai miei amici cantautori,226
1968,Milva,129,Tango (1968),825
1968,Ricordi,976,Tango (1968),825
1968,Iller Pattacini,1517,Tango (1968),825
1968,Fred Bongusto,69,Ore d'amore,700
1968,RCA,974,Ore d'amore,700
1968,Studi RCA Roma,1150,Ore d'amore,700
1968,Franco Migliacci,1280,Ore d'amore,700
1968,Cesare De Natale,1446,Ore d'amore,700
1968,Sergio Marcotulli,1981,Ore d'amore,700
1968,Giorgio Gaber,81,L'asse d'equilibrio,550
1968,Ri-Fi,975,L'asse d'equilibrio,550
1968,Play Co Milano,1112,L'asse d'equilibrio,550
1968,Wladimiro Albera,1421,L'asse d'equilibrio,550
1968,Giorgio Casellato,1505,L'asse d'equilibrio,550
1968,Mina ,130,Canzonissima '68	,315
1968,PDU,967,Canzonissima '68	,315
1968,Augusto Martelli,1437,Canzonissima '68	,315
1968,Sylvie Vartan,188,Sylvie Vartan (LP),821
1968,RCA,974,Sylvie Vartan (LP),821
1968,Giorgio Agazzi,1504,Sylvie Vartan (LP),821
1968,Don Backy,44,Casa bianca,322
1968,Clan Celentano,932,Casa bianca,322
1968,Detto Mariano,1463,Casa bianca,322
1968,Antoine,21,La tramontana,580
1968,Vogue,990,La tramontana,580
1968,Adriano Celentano,5,Adriano Rock,222
1968,Clan Celentano,932,Adriano Rock,222
1968,Miki Del Prete,1346,Adriano Rock,222
1968,Nando De Luca,1555,Adriano Rock,222
1968,Al Bano,6,Il ragazzo che sorride,503
1968,La voce del padrone,959,Il ragazzo che sorride,503
1968,Detto Mariano,1463,Il ragazzo che sorride,503
1968,Gian Piero Reverberi,1288,Il ragazzo che sorride,503
1968,Tony De Vita,1596,Il ragazzo che sorride,503
1968,Nomadi,142,I Nomadi (LP),477
1968,Columbia,933,I Nomadi (LP),477
1968,Gianni Morandi,3290,Gianni 5,448
1968,RCA,974,Gianni 5,448
1968,Studi RCA Roma,1150,Gianni 5,448
1968,Franco Migliacci,1280,Gianni 5,448
1968,Franco Finetti,1483,Gianni 5,448
1968,Ruggero Cini,1585,Gianni 5,448
1968,Claudio Budassi,1676,Gianni 5,448
1968,Sergio Marcotulli,1981,Gianni 5,448
1968,Ubaldo Consoli,2010,Gianni 5,448
1968,Giorgio Agazzi,1765,Gianni 5,448
1968,Giulio Spelta,1773,Gianni 5,448
1968,I Cantori Moderni di Alessandroni,3306,Gianni 5,448
1968,Nora Orlandi,3386,Gianni 5,448
1968,Fabrizio De André,58,Vol. 3,895
1968,Bluebell,917,Vol. 4,895
1968,Gian Piero Reverberi,1288,Vol. 5,895
1968,Giorgio Agazzi,1765,Vol. 6,895
1969,Lucio Battisti,114,Lucio Battisti (LP),615
1969,Ricordi,976,Lucio Battisti (LP),615
1969,Detto Mariano,1463,Lucio Battisti (LP),615
1969,Gian Piero Reverberi,1288,Lucio Battisti (LP),615
1969,Gianni Dall'Aglio,2149,Lucio Battisti (LP),615
1969,Franz Di Cioccio,2137,Lucio Battisti (LP),615
1969,Giovanni Tommaso,2346,Lucio Battisti (LP),615
1969,Damiano Dattoli,2316,Lucio Battisti (LP),615
1969,Giorgio Benacchio,2537,Lucio Battisti (LP),615
1969,Maurizio Vandelli,2600,Lucio Battisti (LP),615
1969,Demetrio Stratos,2754,Lucio Battisti (LP),615
1969,Mal,117,Mal dei Primitives (LP),622
1969,RCA,974,Mal dei Primitives (LP),622
1969,Mina,130,I discorsi,471
1969,PDU,967,I discorsi,471
1969,Augusto Martelli,1437,I discorsi,471
1969,Patty Pravo,150,Concerto per Patty,353
1969,ARC,906,Concerto per Patty,353
1969,Piero Pintucci,1369,Concerto per Patty,353
1969,Franco Pisano,1486,Concerto per Patty,353
1969,I Cantori Moderni di Alessandroni,3306,Concerto per Patty,353
1969,Mina,130,Mina For You,648
1969,PDU,967,Mina For You,648
1969,James Nebb,1312,Mina For You,648
1969,Bob Mitchell,1441,Mina For You,648
1969,Don Backy,44,Le Quattro Stagioni di Don Backy,598
1969,Amico,904,Le Quattro Stagioni di Don Backy,598
1969,Elio Borroni,1258,Le Quattro Stagioni di Don Backy,598
1969,Detto Mariano,1463,Le Quattro Stagioni di Don Backy,598
1969,Al Bano,6,Pensando a te,712
1969,La voce del padrone,959,Pensando a te,712
1969,Alberto Baldan Bembo,1425,Pensando a te,712
1969,Berto Pisano,1439,Pensando a te,712
1969,Detto Mariano,1463,Pensando a te,712
1969,Mario Tessuto,122,Lisa dagli occhi blu,606
1969,CGD,926,Lisa dagli occhi blu,606
1969,Studi CGD Milano       ,1144,Lisa dagli occhi blu,606
1969,Franco Monaldi,1484,Lisa dagli occhi blu,606
1969,The Guitar Men,191,Love letters,613
1969,Ariston,908,Love letters,613
1969,Anna Identici,19,Anna Identici (LP),249
1969,Ariston,908,Anna Identici (LP),249
1969,Franco Tadini,1487,Anna Identici (LP),249
1969,Gianfranco Intra,1494,Anna Identici (LP),249
1969,Armando Trovajoli,1436,Anna Identici (LP),249
1969,Mario Robbiani,1534,Anna Identici (LP),249
1969,Angel Pocho Gatti,1430,Anna Identici (LP),249
1969,Stormy Six,187,Le idee di oggi per la musica di domani,594
1969,First,944,Le idee di oggi per la musica di domani,594
1969,Studio Angelicum Milano,1159,Le idee di oggi per la musica di domani,594
1969,Alberto Salerno,1212,Le idee di oggi per la musica di domani,594
1969,Pasquale Soggiu,1924,Le idee di oggi per la musica di domani,594
1969,Herbert Pagani,85,Amicizia,240
1969,Mama,960,Amicizia,240
1969,Studi RCA Roma,1150,Amicizia,240
1969,Nino Ferrer,141,Agostino Ferrari ovvero Nino Ferrer (LP),224
1969,Riviera,977,Agostino Ferrari ovvero Nino Ferrer (LP),224
1969,The Showmen,194,The Showmen (LP),835
1969,RCA,974,The Showmen (LP),835
1969,Vito Tommaso,1417,The Showmen (LP),835
1969,I Nuovi Angeli,89,I Nuovi Angeli (LP),478
1969,Durium,940,I Nuovi Angeli (LP),478
1969,Felice Piccaredda,1271,I Nuovi Angeli (LP),478
1969,Paki Canzi	,1559,I Nuovi Angeli (LP),478
1969,Marcello Minerbi,1527,I Nuovi Angeli (LP),478
1969,Quelli,157,Quelli (LP),738
1969,Ricordi,976,Quelli (LP),738
1969,Nada,131,Nada (LP),664
1969,RCA,974,Nada (LP),664
1969,Studi RCA Roma,1150,Nada (LP),664
1969,Franco Migliacci,1280,Nada (LP),664
1969,Giorgio Agazzi,1765,Nada (LP),664
1969,Antonio Coggio,1434,Nada (LP),664
1969,Cesare De Natale,1446,Nada (LP),664
1969,Milva,129,Un sorriso,866
1969,Ricordi,976,Un sorriso,866
1969,Detto Mariano,1463,Un sorriso,866
1969,Pooh,155,Memorie,636
1969,Vedette,986,Memorie,636
1969,Armando Sciascia,1222,Memorie,636
1969,Mina,130,Bugiardo più che mai... più incosciente che mai,287
1969,PDU,967,Bugiardo più che mai... più incosciente che mai,287
1969,Augusto Martelli,1437,Bugiardo più che mai... più incosciente che mai,287
1970,Gianni Morandi,76,Gianni 6,449
1970,RCA,974,Gianni 7,449
1970,Studi RCA Roma,1150,Gianni 8,449
1970,Franco Migliacci,1280,Gianni 9,449
1970,Ruggero Cini,1396,Gianni 10,449
1970,Piero Pintucci,1570,Gianni 11,449
1970,Tony Mimms,1597,Gianni 12,449
1970,Enzo Martella,1708,Gianni 13,449
1970,Giulio Spelta,1773,Gianni 14,449
1970,Sergio Marcotulli,1981,Gianni 15,449
1970,Ornella Vanoni,145,Io sì. Ai miei amici cantautori n. 2,528
1970,Ariston,908,Io sì. Ai miei amici cantautori n. 2,528
1970,Pino Calvi,1572,Io sì. Ai miei amici cantautori n. 2,528
1970,Giancarlo Lupo,1750,Io sì. Ai miei amici cantautori n. 2,528
1970,Mario Davanzo,1844,Io sì. Ai miei amici cantautori n. 2,528
1970,Iva Zanicchi,95,"Caro Theodorakis... Iva, Iva Zanicchi",319
1970,Ri-Fi,975,"Caro Theodorakis... Iva, Iva Zanicchi",319
1970,Play Co Milano,1112,"Caro Theodorakis... Iva, Iva Zanicchi",319
1970,Enrico Intra,1467,"Caro Theodorakis... Iva, Iva Zanicchi",319
1970,Ezio Leoni,1476,"Caro Theodorakis... Iva, Iva Zanicchi",319
1970,Gianluca Citi,1754,"Caro Theodorakis... Iva, Iva Zanicchi",319
1970,Georges Moustaki,71,Georges Moustaki in italiano,445
1970,Polydor,971,Georges Moustaki in italiano,445
1970,Domenico Modugno,43,Domenico Modugno (LP),392
1970,RCA,974,Domenico Modugno (LP),392
1970,Studi RCA Roma,1150,Domenico Modugno (LP),392
1970,Guido De Angelis,1514,Domenico Modugno (LP),392
1970,Maurizio De Angelis,1543,Domenico Modugno (LP),392
1970,I Cantori Moderni di Alessandroni,3306,Domenico Modugno (LP),392
1970,Nora Orlandi,3386,Domenico Modugno (LP),392
1970,Patty Pravo,150,"Patty Pravo (LP, 1970)",710
1970,RCA,974,"Patty Pravo (LP, 1970)",710
1970,Studi RCA Roma,1150,"Patty Pravo (LP, 1970)",710
1970,Antonio Coggio,1220,"Patty Pravo (LP, 1970)",710
1970,Paolo Ormi,1562,"Patty Pravo (LP, 1970)",710
1970,Claudio Budassi,1676,"Patty Pravo (LP, 1970)",710
1970,Ubaldo Consoli,2010,"Patty Pravo (LP, 1970)",710
1970,Enzo Martella,1708,"Patty Pravo (LP, 1970)",710
1970,Giulio Spelta,1773,"Patty Pravo (LP, 1970)",710
1970,Gianni Morandi,76,Gianni 7,450
1970,RCA,974,Gianni 8,450
1970,Studi RCA Roma,1150,Gianni 9,450
1970,Franco Migliacci,1280,Gianni 10,450
1970,Cesare De Natale,1446,Gianni 11,450
1970,Leonello Bionda,2178,Gianni 12,450
1970,Bruno Crovetto,2308,Gianni 13,450
1970,Ettore Cenci,2504,Gianni 14,450
1970,Giorgio Carnini,2799,Gianni 15,450
1970,Massimo Ranieri,124,Vent'anni,887
1970,CGD,926,Vent'anni,887
1970,Antonio De Serio,2296,Vent'anni,887
1970,Lino Patruno,2560,Vent'anni,887
1970,Formula 3	,62,Dies Irae,383
1970,Numero Uno,966,Dies Irae,383
1970,Lucio Battisti,1318,Dies Irae,383
1970,Fausto Papetti,59,Douce France,395
1970,Durium,940,Douce France,395
1970,Ronnie Jones,173,Hair - Cast italiano,467
1970,RCA,974,Hair - Cast italiano,467
1970,Mina,130,Quando Tu Mi Spiavi In Cima A Un Batticuore...,735
1970,PDU,967,Quando Tu Mi Spiavi In Cima A Un Batticuore...,735
1970,Sergio Endrigo,179,La vita amico è l'arte dell'incontro,581
1970,Vinicius de Moraes,201,La vita amico è l'arte dell'incontro,581
1970,Giuseppe Ungaretti,82,La vita amico è l'arte dell'incontro,581
1970,Cetra,925,La vita amico è l'arte dell'incontro,581
1970,Milva,129,Canzoni di Edith Piaf,312
1970,Ricordi,976,Canzoni di Edith Piaf,312
1970,Gian Piero Reverberi,1288,Canzoni di Edith Piaf,312
1970,Enzo Jannacci,1474,La mia gente,570
1970,RCA,974,La mia gente,570
1970,Luis Bacalov,1526,La mia gente,570
1970,Equipe 84,53,ID,3463
1970,Ricordi,976,ID,3463
1970,Studi Ricordi,1151,ID,3463
1970,Walter Patergnani,2021,ID,3463
1970,Carlo Martenet,1662,ID,3463
1970,Franz Di Cioccio,2137,ID,3463
1970,Fabrizio De André,58,La buona novella,559
1970,Produttori Associati,973,La buona novella,559
1970,Roberto Dané,1388,La buona novella,559
1970,Gian Piero Reverberi,1492,La buona novella,559
1970,Plinio Chiesa,1944,La buona novella,559
1970,Mario Carulli,1843,La buona novella,559
1970,Walter Patergnani,2021,La buona novella,559
1970,Franz Di Cioccio,2137,La buona novella,559
1970,Giorgio Piazza,2345,La buona novella,559
1970,Andrea Sacchi,2452,La buona novella,559
1970,Franco Mussida,2525,La buona novella,559
1970,Flavio Premoli,2774,La buona novella,559
1970,I Musicals,3307,La buona novella,559
1970,Lucio Battisti,114,Emozioni,416
1970,Ricordi,976,Emozioni,416
1970,Franz Di Cioccio,2137,Emozioni,416
1970,Gianni Dall'Aglio,2149,Emozioni,416
1970,Sergio Panno,2250,Emozioni,416
1970,Damiano Dattoli,2316,Emozioni,416
1970,Giovanni Tommaso,2346,Emozioni,416
1970,Giorgio Piazza,2345,Emozioni,416
1970,Alberto Radius,2444,Emozioni,416
1970,Andrea Sacchi,2452,Emozioni,416
1970,Franco Mussida,2525,Emozioni,416
1970,Dario Baldan Bembo,2749,Emozioni,416
1970,Demetrio Stratos,2754,Emozioni,416
1970,Flavio Premoli,2774,Emozioni,416
1970,Gabriele Lorenzi,2780,Emozioni,416
