Id,Label,nome,ruolo
2565,Lucio Bardi,Lucio Bardi,chitarre
2566,Luigi Schiavone,Luigi Schiavone,chitarre
2567,Marco Barusso,Marco Barusso,chitarre
2568,Marco Colombo,Marco Colombo,chitarre
2569,Marco Guarnerio,Marco Guarnerio,chitarre
2570,Marco Manusso,Marco Manusso,chitarre
2571,Marco Petriaggi,Marco Petriaggi,chitarre
2572,Marco Rinalduzzi,Marco Rinalduzzi,chitarre
2573,Marco Soncini,Marco Soncini,chitarre
2574,Marco Zoccheddu,Marco Zoccheddu,chitarre
2575,Mario Lavezzi,Mario Lavezzi,chitarre
2576,Mario Manzani,Mario Manzani,chitarre
2577,Mario Schilirò,Mario Schilirò,chitarre
2578,Mark Thompson,Mark Thompson,chitarre
2579,Massimiliano Pani,Massimiliano Pani,chitarre
2580,Massimo Bozzi,Massimo Bozzi,chitarre
2581,Massimo Fumanti,Massimo Fumanti,chitarre
2582,Massimo Gatti,Massimo Gatti,chitarre
2583,Massimo Luca,Massimo Luca,chitarre
2584,Massimo Morante,Massimo Morante,chitarre
2585,Massimo Pacciani,Massimo Pacciani,chitarre
2586,Massimo Riva,Massimo Riva,chitarre
2587,Massimo Roccaforte,Massimo Roccaforte,chitarre
2588,Massimo Varini,Massimo Varini,chitarre
2589,Massimo Verardi,Massimo Verardi,chitarre
2590,Matteo Salvatori,Matteo Salvatori,chitarre
2591,Maurizio De Angelis,Maurizio De Angelis,chitarre
2592,Maurizio Fabrizio,Maurizio Fabrizio,chitarre
2593,Maurizio Fiordiliso,Maurizio Fiordiliso,chitarre
2594,Maurizio Glielmo,Maurizio Glielmo,chitarre
2595,Maurizio Perfetto,Maurizio Perfetto,chitarre
2596,Maurizio Pica,Maurizio Pica,chitarre
2597,Maurizio Pini,Maurizio Pini,chitarre
2598,Maurizio Riva,Maurizio Riva,chitarre
2599,Maurizio Solieri,Maurizio Solieri,chitarre
2600,Maurizio Vandelli,Maurizio Vandelli,chitarre
2601,Mauro Gardella,Mauro Gardella,chitarre
2602,Mauro Palermo,Mauro Palermo,chitarre
2603,Mauro Paoluzzi,Mauro Paoluzzi,chitarre
2604,Mauro Patelli,Mauro Patelli,chitarre
2605,Max Carola,Max Carola,chitarre
2606,Max Cottafavi,Max Cottafavi,chitarre
2607,Max Marcolini,Max Marcolini,chitarre
2608,Mel Previte,Mel Previte,chitarre
2609,Michael Landau,Michael Landau,chitarre
2610,Michael Thompson,Michael Thompson,chitarre
2611,Michelangelo La Bionda,Michelangelo La Bionda,chitarre
2612,Michele Ascolese,Michele Ascolese,chitarre
2613,Michele Centonze,Michele Centonze,chitarre
2614,Michele Culotta,Michele Culotta,chitarre
2615,Michele Montefusco,Michele Montefusco,chitarre
2616,Michele Santoro,Michele Santoro,chitarre
2617,Michele Vanni,Michele Vanni,chitarre
2618,Mick Goodrick,Mick Goodrick,chitarre
2619,Mike Landau,Mike Landau,chitarre
2620,Moreno Ferrara,Moreno Ferrara,chitarre
2621,Nico Di Palo,Nico Di Palo,chitarre
2622,Nicola Di Staso,Nicola Di Staso,chitarre
2623,Nicolò Fragile,Nicolò Fragile,chitarre
2624,Olimpio Petrossi,Olimpio Petrossi,chitarre
2625,Pablo Romero,Pablo Romero,chitarre
2626,Paco De Lucia,Paco De Lucia,chitarre
2627,Paolo Amulfi,Paolo Amulfi,chitarre
2628,Paolo Carta,Paolo Carta,chitarre
2629,Paolo Del Conte,Paolo Del Conte,chitarre
2630,Paolo Gianolio,Paolo Gianolio,chitarre
2631,Paolo Giovenchi,Paolo Giovenchi,chitarre
2632,Paolo Jorge Santos,Paolo Jorge Santos,chitarre
2633,Paolo Steffan,Paolo Steffan,chitarre
2634,Paolo Tofani,Paolo Tofani,chitarre
2635,Pat MacDonald,Pat MacDonald,chitarre
2636,Pat Thrall,Pat Thrall,chitarre
2637,Pato Garcia,Pato Garcia,chitarre
3477,Paul Jeffery,Paul Jeffery,chitarre
2638,Paul Stacey,Paul Stacey,chitarre
2639,Phil Palmer,Phil Palmer,chitarre
3482,Phil Spencer,Phil Spencer,chitarre
2640,Piero Fabrizi,Piero Fabrizi,chitarre
2641,Piero Gallo,Piero Gallo,chitarre
2642,Piero Gemelli,Piero Gemelli,chitarre
2643,Pino Daniele,Pino Daniele,chitarre
2644,Pino Perri,Pino Perri,chitarre
2645,Pinuccio Pirazzoli,Pinuccio Pirazzoli,chitarre
2647,Raffaele Chiatto,Raffaele Chiatto,chitarre
2648,Ralph Towner,Ralph Towner,chitarre
2649,Ray Fuller,Ray Fuller,chitarre
2650,Ray Russell,Ray Russell,chitarre
2651,Renato Bartolini,Renato Bartolini,chitarre
2652,Renzo Marino,Renzo Marino,chitarre
2653,Riccardo D'Acunto,Riccardo D'Acunto,chitarre
2654,Riccardo Galardini,Riccardo Galardini,chitarre
2655,Riccardo Giagni,Riccardo Giagni,chitarre
2656,Riccardo Onori,Riccardo Onori,chitarre
2657,Ricky Belloni,Ricky Belloni,chitarre
2658,Ricky Portera,Ricky Portera,chitarre
2659,Robbie Blunt,Robbie Blunt,chitarre
2660,Roberto Ciotti,Roberto Ciotti,chitarre
2661,Roberto Colombo,Roberto Colombo,chitarre
2662,Roberto Guarino,Roberto Guarino,chitarre
2663,Roberto Melone,Roberto Melone,chitarre
2664,Roberto Priori,Roberto Priori,chitarre
2665,Roberto Puleo,Roberto Puleo,chitarre
2666,Roberto Rosati,Roberto Rosati,chitarre
2667,Roberto Stemby,Roberto Stemby,chitarre
2668,Roberto Zenobi,Roberto Zenobi,chitarre
2669,Rodolfo Lamorgese,Rodolfo Lamorgese,chitarre
2670,Roger Smith,Roger Smith,chitarre
2671,Romano Trevisani,Romano Trevisani,chitarre
2672,Rosalino Cellamare (Ron),Rosalino Cellamare (Ron),chitarre
2673,Ru Catania,Ru Catania,chitarre
2674,Rüdiger Elze,Rüdiger Elze,chitarre
2675,Rudy Spinello,Rudy Spinello,chitarre
2676,Ruggero Robin,Ruggero Robin,chitarre
2677,Salvatore Fabrizio,Salvatore Fabrizio,chitarre
2678,Salvatore Russo,Salvatore Russo,chitarre
2679,Sandro Gibellini,Sandro Gibellini,chitarre
2680,Sergio Farina,Sergio Farina,chitarre
2681,Shel Shapiro,Shel Shapiro,chitarre
2682,Silvano Chimenti,Silvano Chimenti,chitarre
2683,Stef Burns,Stef Burns,chitarre
2684,Steve Farris,Steve Farris,chitarre
2685,Steve Lukather,Steve Lukather,chitarre
2686,Terzaghi,Terzaghi,chitarre
2687,Tonino Landini,Tonino Landini,chitarre
2688,Tony Di Mauro,Tony Di Mauro,chitarre
2689,Tony Sidney,Tony Sidney,chitarre
2690,Tony Soranno,Tony Soranno,chitarre
2691,Tore Melillo,Tore Melillo,chitarre
2692,Toti Panzanelli,Toti Panzanelli,chitarre
2693,Tullio Ferro,Tullio Ferro,chitarre
2694,Umberto Fiorentino,Umberto Fiorentino,chitarre
2695,Umberto Tozzi,Umberto Tozzi,chitarre
2696,Vicente Amigo,Vicente Amigo,chitarre
2697,Victor Jones,Victor Jones,chitarre
2698,Vincenzo Mancuso,Vincenzo Mancuso,chitarre
2699,Vincenzo Rende,Vincenzo Rende,chitarre
2700,Vittorio De Scalzi,Vittorio De Scalzi,chitarre
2701,Wayne Hampton,Wayne Hampton,chitarre
2702,William Marino,William Marino,chitarre
2703,Zucchero Fornaciari,Zucchero Fornaciari,chitarre
2704,Adriano Pennino,Adriano Pennino,tastiere
2705,Alan Levi,Alan Levi,tastiere
2706,Albert Prince,Albert Prince,tastiere
2707,Alberto Crucitti,Alberto Crucitti,tastiere
2708,Alberto Mompellio,Alberto Mompellio,tastiere
2709,Alberto Rocchetti,Alberto Rocchetti,tastiere
2710,Alberto Tafuri,Alberto Tafuri,tastiere
2711,Alberto Visentin,Alberto Visentin,tastiere
2712,Aldo Banfi,Aldo Banfi,tastiere
2713,Aldo Fedele,Aldo Fedele,tastiere
2714,Alessandro Centofanti,Alessandro Centofanti,tastiere
2715,Alessandro Magri,Alessandro Magri,tastiere
2716,Ambrogio Sparagna,Ambrogio Sparagna,tastiere
2717,Andy Wright,Andy Wright,tastiere
2718,Angelo Privitera,Angelo Privitera,tastiere
2719,Angelo Valsiglio,Angelo Valsiglio,tastiere
2720,Antonio Aiazzi,Antonio Aiazzi,tastiere
2721,Antonio Annona,Antonio Annona,tastiere
2722,Antonio Ballista,Antonio Ballista,tastiere
2723,Antonio Coggio,Antonio Coggio,tastiere
2724,Antonio Faraò,Antonio Faraò,tastiere
2725,Arturo Valiante,Arturo Valiante,tastiere
2726,Benedict Fenner,Benedict Fenner,tastiere
2727,Beppe D'Onghia,Beppe D'Onghia,tastiere
2728,Bobby Douglas,Bobby Douglas,tastiere
2729,Brian Auger,Brian Auger,tastiere
2730,Bruno Cabassi,Bruno Cabassi,tastiere
2731,Bruno Illiano,Bruno Illiano,tastiere
2732,Bruno Risi,Bruno Risi,tastiere
2733,Bruno Zucchetti,Bruno Zucchetti,tastiere
2734,Carlo Gargioni,Carlo Gargioni,tastiere
2735,Carlo Guaitoli,Carlo Guaitoli,tastiere
2736,Celso Valli,Celso Valli,tastiere
2737,Chick Corea,Chick Corea,tastiere
2738,Chris Cameron,Chris Cameron,tastiere
2739,Claudio Calzolari,Claudio Calzolari,tastiere
2740,Claudio Guidetti,Claudio Guidetti,tastiere
2741,Claudio Maioli,Claudio Maioli,tastiere
2742,Claudio Mattone,Claudio Mattone,tastiere
2743,Claudio Simonetti,Claudio Simonetti,tastiere
2744,Dado Parisini,Dado Parisini,tastiere
2745,Danilo Cherni,Danilo Cherni,tastiere
2746,Danilo Madonia,Danilo Madonia,tastiere
2747,Danilo Rea,Danilo Rea,tastiere
2748,Danilo Riccardi,Danilo Riccardi,tastiere
2749,Dario Baldan Bembo,Dario Baldan Bembo,tastiere
2750,Dario Picone,Dario Picone,tastiere
2751,David Foster,David Foster,tastiere
2752,David Garfield,David Garfield,tastiere
2753,David Sancious,David Sancious,tastiere
2754,Demetrio Stratos,Demetrio Stratos,tastiere
2755,Deron Johnson,Deron Johnson,tastiere
2756,Edo Martin,Edo Martin,tastiere
2757,Enrico Prandi,Enrico Prandi,tastiere
2758,Enrico Riccardi,Enrico Riccardi,tastiere
2759,Eric Buffat,Eric Buffat,tastiere
2760,Ernesto Vitolo,Ernesto Vitolo,tastiere
2761,Fabio Coppini,Fabio Coppini,tastiere
2762,Fabio Liberatori,Fabio Liberatori,tastiere
2763,Fabio Massimo Colasanti,Fabio Massimo Colasanti,tastiere
2764,Fabio Pianigiani,Fabio Pianigiani,tastiere
2765,Fabio Pignatelli,Fabio Pignatelli,tastiere
2766,Fabrizio Lamberti,Fabrizio Lamberti,tastiere
2767,Fabrizio Moschini,Fabrizio Moschini,tastiere
2768,Fabrizio Palermo,Fabrizio Palermo,tastiere
2769,Fabrizio Simoncioni,Fabrizio Simoncioni,tastiere
2770,Federico Troiani,Federico Troiani,tastiere
2771,Felice Davià,Felice Davià,tastiere
2772,Filippo Destrieri,Filippo Destrieri,tastiere
2773,Fio Zanotti,Fio Zanotti,tastiere
2774,Flavio Premoli,Flavio Premoli,tastiere
2775,Franco D'Andrea,Franco D'Andrea,tastiere
2776,Franco Di Sabatino,Franco Di Sabatino,tastiere
2777,Franco Graniero,Franco Graniero,tastiere
2778,Franco Serafini,Franco Serafini,tastiere
2779,Gabriele Barlera,Gabriele Barlera,tastiere
2780,Gabriele Lorenzi,Gabriele Lorenzi,tastiere
2781,Gaetano Curreri,Gaetano Curreri,tastiere
2782,Gaetano Leandro,Gaetano Leandro,tastiere
2783,Geoff Bastow,Geoff Bastow,tastiere
2784,Geoff Westley,Geoff Westley,tastiere
2785,George Zanagoria,George Zanagoria,tastiere
2786,Gian Piero Reverberi,Gian Piero Reverberi,tastiere
2787,Gianfranco Fornaciari,Gianfranco Fornaciari,tastiere
2788,Gianfranco Lombardo,Gianfranco Lombardo,tastiere
2789,Gianluca Podio,Gianluca Podio,tastiere
2790,Gianni Coscia,Gianni Coscia,tastiere
2791,Gianni Farè,Gianni Farè,tastiere
2792,Gianni Madonini,Gianni Madonini,tastiere
2793,Gianni Mazza,Gianni Mazza,tastiere
2794,Gianni Nocenzi,Gianni Nocenzi,tastiere
2795,Gigi Macchiaizzano,Gigi Macchiaizzano,tastiere
2797,Gilberto Martellieri,Gilberto Martellieri,tastiere
2798,Giordano Mazzi,Giordano Mazzi,tastiere
2799,Giorgio Carnini,Giorgio Carnini,tastiere
2800,Giorgio Theo Spagna,Giorgio Theo Spagna,tastiere
2854,Giorgio Vanni,Giorgio Vanni,tastiere
2801,Giovanni Boscariol,Giovanni Boscariol,tastiere
2802,Giovanni Marani,Giovanni Marani,tastiere
2803,Gneo Pompeo,Gneo Pompeo,tastiere
2804,Goffredo Orlandi,Goffredo Orlandi,tastiere
2805,Greg Mathieson,Greg Mathieson,tastiere
2806,Greg Walsh,Greg Walsh,tastiere
2807,Gregorio Puccio,Gregorio Puccio,tastiere
2808,Guido Elmi,Guido Elmi,tastiere
2809,Ian Kewley,Ian Kewley,tastiere
2810,Ignazio Orlando,Ignazio Orlando,tastiere
3466,Italo Greco,Italo Greco,tastiere
2811,Ivano Fossati,Ivano Fossati,tastiere
2812,Jason Newton Howard,Jason Newton Howard,tastiere
2813,Jay Winding,Jay Winding,tastiere
2814,Jean-Philippe Dary,Jean-Philippe Dary,tastiere
2815,Jean-Philippe Rekyel,Jean-Philippe Rekyel,tastiere
2816,Joe Amoruso,Joe Amoruso,tastiere
2817,John Young,John Young,tastiere
2818,Johnnie Johnson,Johnnie Johnson,tastiere
3479,Kips Pert,Kips Pert,tastiere
2820,Leo Martina,Leo Martina,tastiere
2821,Leo Z,Leo Z,tastiere
2822,Leonardo De Amicis,Leonardo De Amicis,tastiere
2950,Lorenzo Ternelli (Telonio),Lorenzo Ternelli (Telonio),tastiere
2823,Luca Bignardi,Luca Bignardi,tastiere
2824,Luca Cersosimo,Luca Cersosimo,tastiere
2825,Luca Laurenti,Luca Laurenti,tastiere
2826,Luca Malaguti,Luca Malaguti,tastiere
2827,Luca Orioli,Luca Orioli,tastiere
2828,Luca Rustici,Luca Rustici,tastiere
2829,Luca Tosoni,Luca Tosoni,tastiere
2830,Luciano Luisi,Luciano Luisi,tastiere
2831,Luciano Stella,Luciano Stella,tastiere
2832,Luciano Torani,Luciano Torani,tastiere
2833,Lucio Dalla,Lucio Dalla,tastiere
2834,Luigi Tonet,Luigi Tonet,tastiere
2835,Luis Bacalov,Luis Bacalov,tastiere
2836,Marcello Ferrante,Marcello Ferrante,tastiere
2837,Marco Canepa,Marco Canepa,tastiere
2838,Marco Colucci,Marco Colucci,tastiere
2839,Marco Falagiani,Marco Falagiani,tastiere
2840,Marco Forni,Marco Forni,tastiere
2841,Marco Tansini,Marco Tansini,tastiere
2842,Mariella Nava,Mariella Nava,tastiere
2843,Mario Gargioni,Mario Gargioni,tastiere
2844,Mario Manzani,Mario Manzani,tastiere
2845,Mario Robbiani,Mario Robbiani,tastiere
2846,Mario Totaro,Mario Totaro,tastiere
2847,Mario Tronco,Mario Tronco,tastiere
2848,Mario Zannini Quirini,Mario Zannini Quirini,tastiere
2849,Mark Harris,Mark Harris,tastiere
2850,Martin Evans,Martin Evans,tastiere
2851,Massimiliano Pani,Massimiliano Pani,tastiere
2852,Massimo Bozzi,Massimo Bozzi,tastiere
2853,Massimo Di Vecchio,Massimo Di Vecchio,tastiere
2855,Massimo Mariello,Massimo Mariello,tastiere
2856,Massimo Pitzianti,Massimo Pitzianti,tastiere
2857,Matthias Zähler,Matthias Zähler,tastiere
2858,Maurizio Abeni,Maurizio Abeni,tastiere
2859,Maurizio Bassi,Maurizio Bassi,tastiere
2860,Maurizio Fabrizio,Maurizio Fabrizio,tastiere
2861,Maurizio Guarini,Maurizio Guarini,tastiere
2862,Maurizio Vandelli,Maurizio Vandelli,tastiere
2863,Mauro Malavasi,Mauro Malavasi,tastiere
2864,Mauro Paoluzzi,Mauro Paoluzzi,tastiere
2865,Mauro Robbiani,Mauro Robbiani,tastiere
2866,Mauro Sabbione,Mauro Sabbione,tastiere
2867,Max Costa,Max Costa,tastiere
2868,Max Longhi,Max Longhi,tastiere
2869,Michael Fraser,Michael Fraser,tastiere
2870,Michele Arveda,Michele Arveda,tastiere
2871,Michele Fedrigotti,Michele Fedrigotti,tastiere
2872,Michele Santoro,Michele Santoro,tastiere
2873,Michi Dei Rossi,Michi Dei Rossi,tastiere
2875,Mike Logan,Mike Logan,tastiere
2876,Mimmo Camporeale,Mimmo Camporeale,tastiere
3478,Morris Pert,Morris Pert,tastiere
2877,Nabue,Nabue,tastiere
2878,Nando Francia,Nando Francia,tastiere
2879,Nick Glennie-Smith,Nick Glennie-Smith,tastiere
2880,Nicola Piovani,Nicola Piovani,tastiere
2881,Nicola Venieri,Nicola Venieri,tastiere
2882,Nicolò Fragile,Nicolò Fragile,tastiere
2883,Ninni Carucci,Ninni Carucci,tastiere
2884,Oscar Rocchi,Oscar Rocchi,tastiere
2885,Ovidio Baldassarri,Ovidio Baldassarri,tastiere
2886,Paki Canzi,Paki Canzi,tastiere
2887,Paolo Gianolio,Paolo Gianolio,tastiere
2888,Paolo Jannacci,Paolo Jannacci,tastiere
2889,Pape Gurioli,Pape Gurioli,tastiere
2890,Patrizio Fariselli,Patrizio Fariselli,tastiere
2891,Paul Bliss,Paul Bliss,tastiere
2892,Peppe Vessicchio,Peppe Vessicchio,tastiere
2893,Peter John Vettese,Peter John Vettese,tastiere
2894,Phil Destrieri,Phil Destrieri,tastiere
2895,Piergiorgio Benda,Piergiorgio Benda,tastiere
2896,Piero Cairo,Piero Cairo,tastiere
2897,Piero Marras,Piero Marras,tastiere
2898,Piero Milesi,Piero Milesi,tastiere
2899,Pietro Pellegrini,Pietro Pellegrini,tastiere
2900,Pino Calvi,Pino Calvi,tastiere
2901,Pino Nicolosi,Pino Nicolosi,tastiere
2902,Pino Pischetola,Pino Pischetola,tastiere
2903,Pino Scagliarini,Pino Scagliarini,tastiere
2904,Pippo Guarnera,Pippo Guarnera,tastiere
2905,Raniero Gaspari,Raniero Gaspari,tastiere
2906,Remo Licastro,Remo Licastro,tastiere
2907,Renato Sellani,Renato Sellani,tastiere
2908,Renato Serio,Renato Serio,tastiere
2909,Riccardo Biseo,Riccardo Biseo,tastiere
2910,Riccardo Tesi,Riccardo Tesi,tastiere
2911,Richard Barbieri,Richard Barbieri,tastiere
2912,Richard Cottle,Richard Cottle,tastiere
2913,Richard Galliano,Richard Galliano,tastiere
2914,Rita Marcotulli,Rita Marcotulli,tastiere
2915,Roberto Carlotto,Roberto Carlotto,tastiere
3470,Roberto Colombo,Roberto Colombo,tastiere
2916,Roberto Costa,Roberto Costa,tastiere
2917,Roberto Giuliani,Roberto Giuliani,tastiere
2918,Roberto Mezzetti,Roberto Mezzetti,tastiere
2919,Roberto Sidoli,Roberto Sidoli,tastiere
2920,Roberto Zanaboni,Roberto Zanaboni,tastiere
2921,Roby Facchinetti,Roby Facchinetti,tastiere
2922,Rocco Petruzzi,Rocco Petruzzi,tastiere
2923,Rosalino Cellamare,Rosalino Cellamare,tastiere
2924,Ruby Cacciapaglia,Ruby Cacciapaglia,tastiere
2925,Rudy Spinello,Rudy Spinello,tastiere
2926,Rudy Trevisi,Rudy Trevisi,tastiere
2927,Ruggero Cini,Ruggero Cini,tastiere
2928,Samuele Dessi,Samuele Dessi,tastiere
2929,Sergio Boni,Sergio Boni,tastiere
2930,Sergio Conforti (Rocco Tanica),Sergio Conforti (Rocco Tanica),tastiere
2931,Sergio Cossu,Sergio Cossu,tastiere
2932,Serse Mai,Serse Mai,tastiere
2933,Shane Dempsey,Shane Dempsey,tastiere
2934,Shel Shapiro,Shel Shapiro,tastiere
2935,Silvano Borgatta,Silvano Borgatta,tastiere
2936,Simon Clark,Simon Clark,tastiere
2937,Simon Luca (Alberto Favata),Simon Luca (Alberto Favata),tastiere
2938,Simone Maiocchi,Simone Maiocchi,tastiere
2939,Simone Papi,Simone Papi,tastiere
2940,Stefania Schiavone,Stefania Schiavone,tastiere
2941,Stefano Bollani,Stefano Bollani,tastiere
2942,Stefano Centofanti,Stefano Centofanti,tastiere
2943,Stefano Galante,Stefano Galante,tastiere
2944,Stefano Melone,Stefano Melone,tastiere
2945,Stefano Pulga,Stefano Pulga,tastiere
2946,Stefano Sabatini,Stefano Sabatini,tastiere
2947,Stefano Senesi,Stefano Senesi,tastiere
2948,Stefano Trevisti,Stefano Trevisti,tastiere
2949,Steve Winwood,Steve Winwood,tastiere
2951,Theo Spagna,Theo Spagna,tastiere
2952,Tommaso Vittorini,Tommaso Vittorini,tastiere
3483,Tommy Eyre,Tommy Eyre,tastiere
2953,Tony Smith,Tony Smith,tastiere
2954,Toto Torquati,Toto Torquati,tastiere
2955,Tullio Ferro,Tullio Ferro,tastiere
2956,Umberto Cimino,Umberto Cimino,tastiere
2957,Vittorio Bacchelli (Victor Bach),Vittorio Bacchelli (Victor Bach),tastiere
2958,Vince Tempera,Vince Tempera,tastiere
2959,Vincenzo Murè,Vincenzo Murè,tastiere
2960,Vittorio Cosma,Vittorio Cosma,tastiere
2961,Vittorio De Scalzi,Vittorio De Scalzi,tastiere
2962,Walter Savelli,Walter Savelli,tastiere
2963,Accademia Musicale Italiana,Accademia Musicale Italiana,archi
2964,Adalberto Murari,Adalberto Murari,archi
2965,Adalgisa Turrisi,Adalgisa Turrisi,archi
2966,Alain Stivell,Alain Stivell,archi
2967,Alberto Borsari,Alberto Borsari,archi
2968,Alberto Stagnoli,Alberto Stagnoli,archi
2969,Alessandro Bonetti,Alessandro Bonetti,archi
2970,Alessandro Simoncini,Alessandro Simoncini,archi
2971,Alessio Alba,Alessio Alba,archi
2972,Alfredo Borzi,Alfredo Borzi,archi
2973,Andrea Bordonali,Andrea Bordonali,archi
2974,Andrea Ruffilli,Andrea Ruffilli,archi
2975,Anna Maria Gallingani,Anna Maria Gallingani,archi
2976,Antonello Mostazzi,Antonello Mostazzi,archi
2977,Astarte Orchestra of London,Astarte Orchestra of London,archi
2978,Aurelio Venanzi,Aurelio Venanzi,archi
2979,Bruce Dekov,Bruce Dekov,archi
2980,Carlo Siliotto,Carlo Siliotto,archi
2981,Cecilia Chailly,Cecilia Chailly,archi
2982,Claudio Frigerio,Claudio Frigerio,archi
2983,Claudio Gilio,Claudio Gilio,archi
2984,Claudio Merlo,Claudio Merlo,archi
2985,Cristiano De André,Cristiano De André,archi
2986,Daniele Pagella,Daniele Pagella,archi
2987,Demetrio Comuzzi,Demetrio Comuzzi,archi
2988,Didier Lockwood,Didier Lockwood,archi
2989,Ebe Mautino,Ebe Mautino,archi
2990,Emilio Ria,Emilio Ria,archi
2991,Enrico Guerzoni,Enrico Guerzoni,archi
2992,Enrico Stabile,Enrico Stabile,archi
2993,Evan Wilson,Evan Wilson,archi
2994,Fabrizio Merlini,Fabrizio Merlini,archi
2996,Franco Formenti,Franco Formenti,archi
2997,Franco Testa,Franco Testa,archi
2998,Fulvio Leofreddi,Fulvio Leofreddi,archi
2999,Gabriele Zanetti,Gabriele Zanetti,archi
3000,Gavyn Wright,Gavyn Wright,archi
3001,Gianmaria Berlendis,Gianmaria Berlendis,archi
3002,Guido Remonda,Guido Remonda,archi
3003,Igor Codeluppi,Igor Codeluppi,archi
3004,Joel Derouin,Joel Derouin,archi
3005,Larry Corbett,Larry Corbett,archi
3006,Laura Sarti,Laura Sarti,archi
3007,Luca Buconi,Luca Buconi,archi
3008,Luca Di Gioia,Luca Di Gioia,archi
3009,Luca Maggioni,Luca Maggioni,archi
3010,Luca Ronconi,Luca Ronconi,archi
3011,Luca Santaniello,Luca Santaniello,archi
3012,Luca Simoncini,Luca Simoncini,archi
3013,Luciano Girardengo,Luciano Girardengo,archi
3014,Lucio Fabbri,Lucio Fabbri,archi
3015,Luigi Grechi,Luigi Grechi,archi
3016,Luigi Mazza,Luigi Mazza,archi
3017,Maela Granziero,Maela Granziero,archi
3018,Marco Decimo,Marco Decimo,archi
3019,Margot Burton,Margot Burton,archi
3020,Mario Robbiani,Mario Robbiani,archi
3021,Mark Feltham,Mark Feltham,archi
3022,Marta Prodi,Marta Prodi,archi
3023,Massimo Barbierato,Massimo Barbierato,archi
3024,Maurizio Picchiò,Maurizio Picchiò,archi
3025,Mauro Pagani,Mauro Pagani,archi
3026,Mauro Righini,Mauro Righini,archi
3027,Michelangelo Cagnetta,Michelangelo Cagnetta,archi
3028,Michele Frediani,Michele Frediani,archi
3029,Nicola Calzolari,Nicola Calzolari,archi
3030,Nino Rapicavoli,Nino Rapicavoli,archi
3031,Nizar Ismail,Nizar Ismail,archi
3032,Noris Borgogelli,Noris Borgogelli,archi
3033,Olen Cesari,Olen Cesari,archi
3034,Paola Guerri,Paola Guerri,archi
3035,Pedro Pedroso,Pedro Pedroso,archi
3036,Renato Serio,Renato Serio,archi
3037,Riccardo Pellegrini,Riccardo Pellegrini,archi
3038,Roberto Caviglione,Roberto Caviglione,archi
3039,Roberto Lucano,Roberto Lucano,archi
3040,Roberto Marchiò,Roberto Marchiò,archi
3041,Roberto Molinelli,Roberto Molinelli,archi
3491,Sandro Di Paolo,Sandro Di Paolo,archi
3042,Sergio Gavioli,Sergio Gavioli,archi
3043,Sid Page,Sid Page,archi
3044,Solis String Quartet,Solis String Quartet,archi
3045,Tiziano Castelvetro,Tiziano Castelvetro,archi
3046,Unione dei Musicisti di Roma,Unione dei Musicisti di Roma,archi
3047,Vittorio Marchese,Vittorio Marchese,archi
3048,Vittorio Piombo,Vittorio Piombo,archi
3490,Ada Rovatti,Ada Rovatti,fiati
3049,Adriano Pancaldi,Adriano Pancaldi,fiati
3050,Alberto Borsari,Alberto Borsari,fiati
3051,Alberto Mandarini,Alberto Mandarini,fiati
3052,Alberto Morelli,Alberto Morelli,fiati
3053,Alessandra Perinotti,Alessandra Perinotti,fiati
3055,Ambrogio Frigerio,Ambrogio Frigerio,fiati
3056,Amedeo Bianchi,Amedeo Bianchi,fiati
3057,Andrea Giuffredi,Andrea Giuffredi,fiati
3058,Andrea Tofanelli,Andrea Tofanelli,fiati
3059,Andrew Love,Andrew Love,fiati
3060,Andy J. Forest,Andy J. Forest,fiati
3061,Antonella Pepe,Antonella Pepe,fiati
3062,Antonio Marangolo,Antonio Marangolo,fiati
3063,Bill Reichenbach jr.,Bill Reichenbach jr.,fiati
3064,Brandon Fields,Brandon Fields,fiati
3065,Brendan Wade,Brendan Wade,fiati
3066,Bruno De Filippi,Bruno De Filippi,fiati
3067,Carlo Atti,Carlo Atti,fiati
3068,Charles Loper,Charles Loper,fiati
3069,Clarence Clemmons,Clarence Clemmons,fiati
3070,Claudio Allifranchini,Claudio Allifranchini,fiati
3071,Claudio Chiara,Claudio Chiara,fiati
3072,Claudio Pascoli,Claudio Pascoli,fiati
3073,Claudio Pizzale,Claudio Pizzale,fiati
3074,Corrado Terzi,Corrado Terzi,fiati
3075,Cristina Scrima,Cristina Scrima,fiati
3076,Daniele Comoglio,Daniele Comoglio,fiati
3077,Daniele Giardina,Daniele Giardina,fiati
3078,Daniele Moretto,Daniele Moretto,fiati
3079,Daniele Sepe,Daniele Sepe,fiati
3080,Davide Di Gregorio,Davide Di Gregorio,fiati
3081,Davide Guidoni,Davide Guidoni,fiati
3082,Demo Morselli,Demo Morselli,fiati
3083,Derek Watkins,Derek Watkins,fiati
3084,Dino Piana,Dino Piana,fiati
3085,Eleonora Nervi,Eleonora Nervi,fiati
3086,Emanuele Cisi,Emanuele Cisi,fiati
3087,Emilio Soana,Emilio Soana,fiati
3088,Enrico Guastalla,Enrico Guastalla,fiati
3089,Eric Daniel,Eric Daniel,fiati
3090,Fabio Treves,Fabio Treves,fiati
3091,Fernando Brusco,Fernando Brusco,fiati
